
THE FOLLOWING IS THE WEIGHT CHANGE AND THE MEAN SQUARE ERROR
------------------------------------------------------------


	 0.090	 0.051	 0.158	 0.127	
	 0.090	 0.051	 0.158	 0.127	
	 0.090	 0.051	 0.158	 0.127	
    21	      MEANSQUARE ERROR = 0.0021


	 0.090	 0.051	 0.157	 0.128	
	 0.090	 0.051	 0.157	 0.128	
	 0.090	 0.051	 0.157	 0.128	
	 0.090	 0.051	 0.157	 0.128	
	 0.090	 0.051	 0.157	 0.128	
    22	      MEANSQUARE ERROR = 0.0021


	 0.089	 0.050	 0.156	 0.129	
	 0.089	 0.050	 0.156	 0.129	
	 0.089	 0.050	 0.156	 0.129	
	 0.089	 0.050	 0.156	 0.129	
	 0.089	 0.050	 0.156	 0.129	
    23	      MEANSQUARE ERROR = 0.0021


	 0.088	 0.050	 0.156	 0.130	
	 0.088	 0.050	 0.156	 0.130	
	 0.088	 0.050	 0.156	 0.130	
	 0.088	 0.050	 0.156	 0.130	
	 0.088	 0.050	 0.156	 0.130	
    24	      MEANSQUARE ERROR = 0.0021


	 0.088	 0.050	 0.155	 0.130	
	 0.088	 0.050	 0.155	 0.130	
	 0.088	 0.050	 0.155	 0.130	
	 0.088	 0.050	 0.155	 0.130	
	 0.088	 0.050	 0.155	 0.130	
    25	      MEANSQUARE ERROR = 0.0021


	 0.087	 0.049	 0.154	 0.131	
	 0.087	 0.049	 0.154	 0.131	
	 0.087	 0.049	 0.154	 0.131	
	 0.087	 0.049	 0.154	 0.131	
	 0.087	 0.049	 0.154	 0.131	
    26	      MEANSQUARE ERROR = 0.0021


	 0.087	 0.049	 0.153	 0.131	
	 0.087	 0.049	 0.153	 0.131	
	 0.087	 0.049	 0.153	 0.131	
	 0.087	 0.049	 0.153	 0.131	
	 0.087	 0.049	 0.153	 0.131	
    27	      MEANSQUARE ERROR = 0.0021


	 0.086	 0.048	 0.153	 0.132	
	 0.086	 0.048	 0.153	 0.132	
	 0.086	 0.048	 0.153	 0.132	
	 0.086	 0.048	 0.153	 0.132	
	 0.086	 0.048	 0.153	 0.132	
    28	      MEANSQUARE ERROR = 0.0021


	 0.085	 0.048	 0.152	 0.133	
	 0.085	 0.048	 0.152	 0.133	
	 0.085	 0.048	 0.152	 0.133	
	 0.085	 0.048	 0.152	 0.133	
	 0.085	 0.048	 0.152	 0.133	
    29	      MEANSQUARE ERROR = 0.0021


	 0.085	 0.048	 0.151	 0.133	
	 0.085	 0.048	 0.151	 0.133	
	 0.085	 0.048	 0.151	 0.133	
	 0.085	 0.048	 0.151	 0.133	
	 0.085	 0.048	 0.151	 0.133	
    30	      MEANSQUARE ERROR = 0.0021


	 0.084	 0.048	 0.151	 0.134	
	 0.084	 0.048	 0.151	 0.134	
